iter	Logloss
0	0.6880025844
1	0.6818521023
2	0.6760152327
3	0.6697853343
4	0.6639608587
5	0.6582118736
6	0.6527579108
7	0.6483494825
8	0.6432160038
9	0.6373625791
10	0.6322938723
11	0.628217076
12	0.6231105607
13	0.6181714385
14	0.6141781635
15	0.6093455006
16	0.6059099371
17	0.6017334342
18	0.5975482296
19	0.5949299421
20	0.5910944876
21	0.5878148137
22	0.5832498402
23	0.5787872974
24	0.5748273147
25	0.5705537229
26	0.566904764
27	0.5627988343
28	0.5591550433
29	0.5552473838
30	0.5525757061
31	0.5488789003
32	0.5453044518
33	0.5421009918
34	0.5386938462
35	0.5351926051
36	0.5324323554
37	0.5297764962
38	0.5272259752
39	0.5258077253
40	0.5223898624
41	0.5193594649
42	0.5165063539
43	0.5135811745
44	0.5118629184
45	0.5097244739
46	0.5075034419
47	0.5055190031
48	0.50290607
49	0.5008047188
50	0.4978840384
51	0.4955339767
52	0.4930257609
53	0.4907803461
54	0.4886645856
55	0.4871601203
56	0.4858136873
57	0.4837396958
58	0.4828214237
59	0.4805805257
60	0.4791148626
61	0.4771662247
62	0.4751556393
63	0.4730042356
64	0.4710989385
65	0.4692962851
66	0.4670374691
67	0.4655266645
68	0.4640253102
69	0.4623559605
70	0.4611730084
71	0.4600772153
72	0.4592911565
73	0.4580020399
74	0.4561260996
75	0.455363517
76	0.4540079923
77	0.4526722948
78	0.4515390699
79	0.4506588245
80	0.4487828214
81	0.4471536306
82	0.4461121602
83	0.4449428495
84	0.4435114257
85	0.442228524
86	0.4409106625
87	0.439529773
88	0.4382237802
89	0.4365979179
90	0.4352525794
91	0.4340238291
92	0.4335882163
93	0.432239941
94	0.4312218064
95	0.4298463656
96	0.4289710601
97	0.428193749
98	0.4271201348
99	0.4259274301
100	0.4252142843
101	0.4238377855
102	0.4230143456
103	0.4224002016
104	0.4220004649
105	0.4209420971
106	0.4198645579
107	0.4190896153
108	0.4178729335
109	0.4168694813
110	0.4161680255
111	0.4153327545
112	0.4142108431
113	0.4135249875
114	0.41269748
115	0.4117315842
116	0.4107280794
117	0.4097060684
118	0.4092681928
119	0.4083022371
120	0.4074727656
121	0.406743953
122	0.4061691039
123	0.405485936
124	0.404691269
125	0.4041200717
126	0.4038773015
127	0.4036682681
128	0.4027970666
129	0.4020510648
130	0.401429454
131	0.4011574649
132	0.4003047489
133	0.3997424915
134	0.3989131999
135	0.3978807049
136	0.3968844329
137	0.3967017708
138	0.3961806365
139	0.3956816024
140	0.395089493
141	0.3946103006
142	0.3939500591
143	0.3933280702
144	0.3926132802
145	0.3918918333
146	0.391378195
147	0.3906905707
148	0.390415639
149	0.3899904695
150	0.3895997565
151	0.3891562332
152	0.3887221952
153	0.3880880146
154	0.3873869521
155	0.3867989023
156	0.386295905
157	0.3860434272
158	0.3854422107
159	0.3850036682
160	0.3845830899
161	0.3840375814
162	0.3834659252
163	0.3829674018
164	0.3825406221
165	0.3820056396
166	0.3816238574
167	0.3811566428
168	0.380651687
169	0.3801652123
170	0.3798826745
