iter	Passed	Remaining
0	1	1137
1	3	1515
2	4	1599
3	6	1581
4	7	1568
5	9	1567
6	11	1567
7	12	1511
8	13	1479
9	15	1485
10	16	1498
11	18	1498
12	19	1473
13	21	1482
14	22	1499
15	24	1521
16	25	1484
17	27	1494
18	29	1514
19	30	1482
20	31	1477
21	32	1446
22	34	1455
23	35	1459
24	37	1459
25	38	1460
26	40	1461
27	42	1469
28	43	1467
29	45	1467
30	46	1447
31	48	1454
32	49	1462
33	51	1459
34	52	1449
35	54	1462
36	55	1450
37	56	1436
38	58	1433
39	59	1425
40	60	1425
41	62	1423
42	63	1418
43	65	1414
44	66	1406
45	67	1393
46	68	1391
47	69	1387
48	71	1384
49	73	1387
50	74	1391
51	76	1387
52	77	1384
53	79	1384
54	80	1381
55	81	1373
56	82	1366
57	83	1363
58	84	1352
59	86	1351
60	87	1342
61	88	1340
62	90	1338
63	91	1338
64	92	1337
65	94	1335
66	95	1332
67	97	1330
68	98	1329
69	100	1329
70	101	1323
71	102	1322
72	103	1317
73	105	1317
74	106	1314
75	107	1305
76	108	1303
77	110	1301
78	111	1300
79	112	1293
80	113	1291
81	115	1290
82	116	1285
83	117	1279
84	118	1278
85	120	1277
86	121	1276
87	123	1278
88	124	1277
89	126	1276
90	127	1275
91	129	1276
92	130	1268
93	131	1266
94	132	1264
95	134	1262
96	135	1260
97	136	1258
98	138	1257
99	139	1256
100	141	1256
101	142	1255
102	143	1251
103	145	1249
104	145	1243
105	147	1242
106	149	1244
107	150	1242
108	151	1242
109	153	1241
110	155	1243
111	156	1243
112	158	1241
113	159	1236
114	160	1236
115	162	1238
116	164	1238
117	165	1236
118	166	1232
119	167	1230
120	169	1229
121	170	1229
122	172	1228
123	174	1231
124	175	1230
125	177	1229
126	177	1223
127	178	1218
128	180	1217
129	181	1215
130	183	1214
131	184	1209
132	185	1211
133	187	1209
134	188	1208
135	190	1207
136	191	1207
137	192	1202
138	193	1201
139	195	1200
140	196	1199
141	198	1200
142	200	1200
143	201	1200
144	203	1199
145	205	1200
146	206	1198
147	207	1197
148	209	1195
149	210	1195
150	212	1195
151	213	1193
152	214	1189
153	216	1187
154	217	1187
155	219	1185
156	220	1183
157	221	1179
158	222	1177
159	224	1178
160	226	1177
161	227	1176
162	229	1175
163	230	1174
164	231	1173
165	233	1171
166	234	1170
167	236	1169
168	237	1168
169	239	1167
170	240	1166
171	241	1163
172	243	1162
173	244	1160
174	245	1159
175	247	1158
176	249	1158
177	250	1157
178	252	1156
179	252	1152
180	254	1151
181	256	1150
182	257	1149
183	258	1147
184	260	1146
185	261	1145
186	263	1144
187	264	1142
188	266	1141
189	267	1140
190	268	1139
191	270	1138
192	271	1137
193	273	1136
194	275	1136
195	276	1135
196	277	1130
197	278	1129
198	280	1129
199	282	1128
200	283	1126
201	285	1126
202	286	1125
203	287	1123
204	289	1121
205	290	1120
206	292	1120
207	293	1118
208	294	1116
209	296	1114
210	297	1111
211	299	1111
212	300	1111
213	302	1110
214	303	1109
215	305	1108
216	306	1107
217	308	1105
218	309	1104
219	311	1102
220	312	1101
221	313	1099
222	315	1098
223	316	1097
224	318	1095
225	319	1094
226	320	1092
227	322	1090
228	323	1090
229	325	1089
230	326	1088
231	328	1086
232	329	1086
233	331	1086
234	332	1083
235	334	1082
236	336	1082
237	337	1080
238	339	1079
239	340	1077
240	341	1076
241	343	1075
242	344	1073
243	346	1072
244	347	1070
245	349	1070
246	351	1070
247	352	1068
248	353	1065
249	355	1065
250	356	1064
251	358	1062
252	359	1061
253	361	1060
254	362	1059
255	363	1057
256	365	1055
257	366	1055
258	368	1053
259	369	1052
260	371	1051
261	372	1049
262	374	1048
263	375	1047
264	377	1045
265	378	1044
266	380	1043
267	381	1041
268	382	1040
269	384	1039
270	385	1038
271	387	1036
272	388	1035
273	389	1032
274	391	1030
275	392	1029
276	394	1028
277	395	1026
278	396	1025
279	398	1025
280	400	1024
281	401	1023
282	403	1021
283	405	1021
284	406	1019
285	408	1018
286	409	1017
287	410	1015
288	412	1014
289	413	1012
290	415	1011
291	416	1010
292	418	1008
293	419	1007
294	420	1005
295	422	1004
296	424	1003
297	425	1001
298	426	1000
299	428	999
300	430	998
301	431	997
302	432	995
303	434	994
304	435	993
305	437	991
306	438	990
307	440	988
308	441	987
309	443	986
310	444	984
311	445	983
312	447	981
313	448	980
314	450	979
315	451	977
316	453	976
317	454	975
318	456	974
319	457	972
320	459	971
321	460	970
322	462	968
323	463	966
324	464	965
325	466	963
326	467	962
327	469	961
328	469	958
329	471	956
330	472	955
331	474	954
332	475	953
333	477	952
334	478	950
335	480	949
336	482	948
337	483	947
338	485	946
339	486	945
340	488	944
341	490	942
342	491	941
343	492	939
344	494	938
345	495	937
346	496	934
347	498	933
348	500	933
349	501	932
350	503	930
351	504	929
352	506	927
353	507	926
354	509	924
355	510	923
356	511	922
357	513	920
358	514	918
359	516	917
360	517	916
361	519	914
362	520	913
363	521	911
364	522	909
365	524	908
366	526	907
367	527	905
368	528	904
369	530	903
370	531	901
371	533	899
372	534	898
373	536	897
374	537	895
375	538	893
376	539	891
377	541	890
378	542	889
379	543	887
380	545	885
381	546	884
382	548	883
383	549	882
384	551	880
385	552	878
386	553	877
387	555	876
388	556	874
389	558	873
390	559	871
391	561	870
392	562	869
393	564	867
394	565	866
395	566	864
396	568	862
397	569	861
398	570	859
399	572	858
400	573	856
401	575	855
402	576	854
403	577	852
404	579	851
405	580	849
406	582	848
407	583	846
408	584	845
409	586	843
410	587	842
411	589	840
412	589	838
413	591	836
414	592	835
415	594	834
416	595	832
417	597	831
418	598	830
419	600	828
420	601	827
421	603	826
422	604	824
423	606	823
424	607	821
425	608	820
426	610	819
427	611	817
428	613	816
429	614	814
430	615	813
431	617	811
432	618	810
433	620	808
434	621	807
435	623	806
436	624	804
437	625	803
438	627	801
439	628	799
440	629	798
441	630	796
442	632	795
443	633	793
444	635	792
445	637	791
446	638	789
447	639	788
448	641	786
449	642	785
450	644	784
451	645	782
452	646	780
453	647	778
454	649	777
455	650	776
456	652	774
457	653	773
458	655	772
459	656	771
460	658	769
461	659	768
462	661	766
463	662	764
464	663	763
465	664	761
466	665	759
467	667	758
468	668	757
469	670	756
470	671	754
471	673	753
472	675	752
473	676	751
474	678	749
475	680	748
476	681	747
477	682	745
478	684	744
479	685	742
480	686	741
481	688	739
482	689	738
483	691	736
484	692	735
485	694	734
486	695	732
487	696	731
488	698	729
489	699	728
490	701	727
491	702	725
492	704	724
493	706	723
494	707	722
495	709	720
496	710	719
497	712	717
498	713	716
499	714	714
500	716	713
501	717	712
502	719	710
503	720	709
504	721	707
505	723	706
506	725	705
507	726	703
508	727	702
509	729	700
510	730	699
511	732	697
512	733	696
513	735	695
514	736	693
515	738	692
516	739	690
517	740	689
518	742	688
519	743	686
520	745	685
521	746	683
522	748	682
523	750	681
524	751	680
525	753	678
526	755	677
527	756	676
528	757	674
529	759	673
530	760	672
531	762	670
532	763	669
533	765	667
534	766	666
535	768	665
536	769	663
537	770	661
538	771	660
539	773	658
540	775	657
541	776	656
542	778	655
543	779	653
544	781	652
545	782	650
546	784	649
547	785	647
548	786	646
549	787	644
550	789	643
551	790	641
552	792	640
553	793	639
554	795	637
555	796	636
556	798	634
557	800	633
558	801	632
559	802	630
560	803	629
561	805	627
562	806	625
563	807	624
564	808	622
565	810	621
566	811	619
567	812	618
568	814	616
569	815	615
570	817	614
571	818	612
572	820	611
573	821	609
574	823	608
575	825	607
576	826	606
577	828	604
578	829	603
579	830	601
580	832	600
581	833	598
582	835	597
583	836	595
584	838	594
585	839	593
586	841	591
587	842	590
588	844	589
589	845	587
590	847	586
591	849	585
592	850	583
593	852	582
594	853	581
595	855	579
596	856	577
597	857	576
598	859	575
599	860	573
600	862	572
601	864	571
602	865	570
603	867	568
604	868	567
605	870	565
606	871	564
607	873	563
608	875	561
609	876	560
610	878	559
611	880	558
612	881	556
613	883	555
614	884	553
615	886	552
616	887	551
617	889	549
618	890	548
619	892	546
620	893	545
621	895	544
622	896	542
623	898	541
624	900	540
625	901	538
626	903	537
627	905	536
628	906	534
629	907	533
630	909	531
631	911	530
632	913	529
633	915	528
634	917	527
635	918	525
636	919	524
637	921	522
638	923	521
639	924	520
640	926	518
641	928	517
642	930	516
643	931	515
644	933	513
645	934	512
646	936	510
647	937	509
648	939	508
649	941	507
650	943	505
651	944	504
652	946	502
653	948	501
654	950	500
655	952	499
656	954	498
657	956	496
658	958	495
659	959	494
660	961	492
661	962	491
662	964	490
663	966	488
664	967	487
665	969	486
666	971	484
667	973	483
668	974	482
669	976	481
670	978	479
671	980	478
672	981	477
673	983	475
674	985	474
675	987	473
676	988	471
677	990	470
678	992	469
679	993	467
680	995	466
681	997	464
682	998	463
683	1000	462
684	1002	461
685	1004	459
686	1006	458
687	1008	457
688	1009	455
689	1010	453
690	1011	452
691	1013	451
692	1015	449
693	1017	448
694	1019	447
695	1021	446
696	1023	444
697	1024	443
698	1026	442
699	1028	440
700	1029	439
701	1031	437
702	1033	436
703	1035	435
704	1036	433
705	1038	432
706	1040	431
707	1041	429
708	1043	428
709	1045	426
710	1047	425
711	1048	424
712	1049	422
713	1051	421
714	1053	419
715	1055	418
716	1056	416
717	1057	415
718	1059	413
719	1060	412
720	1062	411
721	1064	409
722	1065	408
723	1067	406
724	1068	405
725	1070	403
726	1071	402
727	1073	400
728	1074	399
729	1076	398
730	1078	396
731	1080	395
732	1082	394
733	1084	392
734	1085	391
735	1086	389
736	1088	388
737	1090	387
738	1092	385
739	1093	384
740	1095	382
741	1097	381
742	1099	380
743	1101	378
744	1103	377
745	1104	376
746	1107	374
747	1108	373
748	1110	372
749	1112	370
750	1114	369
751	1115	367
752	1117	366
753	1119	365
754	1121	363
755	1123	362
756	1125	361
757	1127	360
758	1129	358
759	1131	357
760	1133	355
761	1134	354
762	1136	352
763	1138	351
764	1139	350
765	1141	348
766	1143	347
767	1145	345
768	1146	344
769	1148	343
770	1150	341
771	1152	340
772	1154	338
773	1155	337
774	1157	336
775	1159	334
776	1160	333
777	1162	331
778	1163	330
779	1165	328
780	1166	327
781	1168	325
782	1169	324
783	1171	322
784	1173	321
785	1175	320
786	1176	318
787	1178	316
788	1179	315
789	1181	314
790	1182	312
791	1184	311
792	1185	309
793	1187	307
794	1188	306
795	1189	304
796	1191	303
797	1192	301
798	1194	300
799	1196	299
800	1197	297
801	1198	295
802	1200	294
803	1201	292
804	1203	291
805	1204	289
806	1206	288
807	1207	286
808	1209	285
809	1210	283
810	1212	282
811	1213	281
812	1215	279
813	1216	278
814	1218	276
815	1219	275
816	1221	273
817	1223	272
818	1225	270
819	1226	269
820	1228	267
821	1229	266
822	1231	264
823	1232	263
824	1234	261
825	1235	260
826	1237	258
827	1238	257
828	1240	255
829	1241	254
830	1243	252
831	1244	251
832	1246	249
833	1247	248
834	1249	246
835	1251	245
836	1252	243
837	1253	242
838	1255	240
839	1256	239
840	1257	237
841	1258	236
842	1260	234
843	1261	233
844	1263	231
