iter	Passed	Remaining
0	143	14227
1	148	7252
2	152	4932
3	156	3762
4	161	3062
5	165	2600
6	170	2259
7	174	2001
8	178	1804
9	182	1645
10	187	1518
11	192	1415
12	197	1324
13	202	1243
14	206	1172
15	211	1110
16	216	1058
17	221	1007
18	225	962
19	230	922
20	234	883
21	239	850
22	244	817
23	248	785
24	252	757
25	257	731
26	261	707
27	266	684
28	270	662
29	275	642
30	279	621
31	283	602
32	287	584
33	292	567
34	296	550
35	301	535
36	306	521
37	311	508
38	316	494
39	320	481
40	325	467
41	329	454
42	333	442
43	339	431
44	343	419
45	347	408
46	352	396
47	356	386
48	360	375
49	365	365
50	369	355
51	373	345
52	377	335
53	382	325
54	386	316
55	391	307
56	396	299
57	400	290
58	405	281
59	409	272
60	414	264
61	418	256
62	423	248
63	429	241
64	433	233
65	437	225
66	442	218
67	446	210
68	451	202
69	456	195
70	460	188
71	464	180
72	469	173
73	473	166
74	478	159
75	482	152
76	486	145
77	491	138
78	495	131
79	500	125
80	505	118
81	509	111
82	513	105
83	518	98
84	522	92
85	526	85
86	531	79
87	535	73
88	540	66
89	544	60
90	549	54
91	553	48
92	559	42
93	564	36
94	568	29
95	573	23
96	578	17
97	582	11
98	587	5
99	591	0
